,平均值,中位数,标准差,最小值,最大值
2000,,,,,
2001,0.11470899999999996,0.114709,2.276868859721209e-15,0.114709,0.114709
2002,0.07983300000000002,0.079833,2.1241099494486593e-15,0.079833,0.079833
2003,0.06185600000000001,0.061856,8.190882544278515e-16,0.061856,0.061856
2004,0.06975194765840219,0.069745,0.00026474134161749675,0.069745,0.079833
2005,0.20123799999999997,0.201238,5.608549975314097e-15,0.201238,0.201238
2006,0.20366343368010398,0.203744,0.003159597009846291,0.079833,0.203744
2007,0.037439,0.037439,7.704491815450546e-16,0.037439,0.037439
2008,-0.01866339204212994,-0.104821,0.1408211853495077,-0.104821,0.225411
2009,0.12776327896995704,0.225411,0.14601271847130926,-0.104821,0.225411
2010,0.1332428696436626,0.097087,0.058821496491386197,0.022826,0.225411
2011,0.05857393681206687,0.043893,0.02378315449172318,0.043893,0.097087
2012,0.048772437427353744,0.050497,0.0029014059953852297,0.043893,0.050497
2013,0.0656116942336874,0.070804,0.008860581118082632,0.050497,0.070804
2014,0.04279528280300321,0.033678,0.016332404211070885,0.033678,0.225411
2015,0.07520179282482224,0.033678,0.049608837204356895,0.033598,0.170072
2016,0.15927206787066706,0.155191,0.010798937123424815,0.050497,0.206413
2017,0.1752250002617801,0.182263,0.02094417218339017,-0.104821,0.201238
2018,0.1323356248406019,0.14019,0.02700483433218869,0.033678,0.225411
2019,0.037366636826783116,0.035677,0.007927182382409201,-0.104821,0.225411
2020,0.05896194251366121,0.052364,0.017484743587721282,-0.008447,0.225411
2021,0.08707287196467992,0.101476,0.03702401090022783,-0.104821,0.225411
2022,0.006357747622670219,-0.008447,0.04199772579131384,-0.104821,0.225411
2023,0.11552372235822116,0.145129,0.06164170461583636,-0.104821,0.225411
2024,0.09455260494571772,0.097087,0.07792693049471719,-0.104821,0.225411
