Year,平均值,中位数,标准差,最小值,最大值,样本数
2002,51.69765601217656,69.77,28.31943050151885,7.08,69.77,1314
2003,34.9657330415755,20.22,22.662502914486247,20.22,69.77,1371
2004,20.219999999999995,20.22,3.5539385413360485e-13,20.22,20.22,1451
2005,18.36609053497943,17.67,1.136386618952658,17.67,20.22,1458
2006,22.380804177545688,24.08,2.8296943763227085,17.67,24.08,1532
2007,24.93654425045153,25.22,0.49288807351222785,24.08,25.22,1661
2008,25.220000000000002,25.22,6.112457150514911e-13,25.22,25.22,1708
2009,40.80776167471821,45.22,8.295411779269225,25.22,45.22,1863
2010,37.33843862815885,35.54,3.7645942705041504,35.54,45.22,2216
2011,35.54,35.54,1.0162832843507666e-12,35.54,35.54,2453
2012,24.144490507555215,20.12,6.634014780986544,20.12,35.54,2581
2013,20.12,20.12,7.924054691577317e-13,20.12,20.12,2636
2014,20.254903364352188,20.3,0.07801196101240318,20.12,20.3,2794
2015,20.300000000000004,20.3,1.1228389914300513e-12,20.3,20.3,3094
2016,16.726911636045497,15.81,1.809037695722919,15.81,20.3,3429
2017,26.625963302752297,29.1,5.155743352948064,15.81,29.1,3815
2018,19.719410262956348,23.92,8.311674615726023,10.2,29.1,3917
2019,26.41646987366375,24.69,5.510613517416985,24.69,44.08,4116
2020,43.49658707557502,44.08,1.5797350554605074,39.22,44.08,4565
2021,37.401390514631686,39.22,4.954933781254356,23.87,39.22,4955
2022,24.65492393606779,23.87,2.2511612820214273,23.87,39.63,5193
2023,29.151106057473644,29.62,7.860860820130128,10.2,45.22,4837
