指标,起始年份,终止年份,期间平均值,期间标准差
总负债率 (Lev),2000,2023,0.46520543665415226,0.22868672384356967
流动负债率 (SL),2000,2023,5944660816.313763,13315288000.60794
长期负债率 (LL),2000,2023,1907951764.930599,6566707415.566563
短债比率 (SDR),2000,2023,0.8206220557752474,0.1980239502708985
现金比率 (Cash),2000,2023,0.25975085189560204,0.036658339485787346
总资产收益率 (ROA),2001,2023,0.03615789389368505,0.013874852262786848
净资产收益率 (ROE),2001,2023,0.09044697494359757,0.02892545708511271
短期银行借款/总资产 (SLoan),2000,2023,0.40777894980738655,0.6154481970018343
长期银行借款/总资产 (LLoan),2000,2023,0.6754436458012711,1.5955337261889548
第一大股东持股比例 (Top1),2002,2023,28.203872038667235,5.074849790784059
前五大股东持股比例平方和 (HHI5),2001,2023,0.6586181944509449,0.18322027562559728
