书名,作者,出版社,出版时间,原价,折后价,评论数,详情页链接
Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）,Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程（当当套装共3册）,,,267.80,21.60,124999条评论,//product.dangdang.com/12100010244.html
小学生Python创意编程（视频教学版） 本书按照入门开发者的思维方式编写，非常适合孩子学习Python编程的基础知识。语言风趣幽默，讲解细致入微，案例生动有趣，能够让小朋友轻松愉悦地学习Python编程。,小学生Python创意编程（视频教学版） 本书按照入门开发者的思维方式编写，非常适合孩子学习Python编程的基础知识。语言风趣幽默，讲解细致入微，案例生动有趣，能够让小朋友轻松愉悦地学习Python编程。,,,89.00,45.20,7157条评论,//product.dangdang.com/29666296.html
Python编程从入门到实践 第3版 Python编程入门经典，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,Python编程从入门到实践 第3版 Python编程入门经典，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,,,109.80,69.80,19970条评论,//product.dangdang.com/29564789.html
Python从入门到精通（第3版） Python入门经典，26万Python程序员的入行选择。配备升级版Python开发资源库，在线大咖课+在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,Python从入门到精通（第3版） Python入门经典，26万Python程序员的入行选择。配备升级版Python开发资源库，在线大咖课+在线答疑，学习1小时，训练10小时，从入门到项目上线，打造全新学习生态。,,,89.80,44.90,2375条评论,//product.dangdang.com/29594969.html
利用Python进行数据分析（原书第3版） Python数据分析经典畅销书全新升级，第1版+第2版的中文版累计销售近30万册！,利用Python进行数据分析（原书第3版） Python数据分析经典畅销书全新升级，第1版+第2版的中文版累计销售近30万册！,,,149.00,86.40,2663条评论,//product.dangdang.com/29649719.html
Python股票量化交易从入门到实践 股票炒股趋势技术分析书籍，量化投资金融科技教程，量化交易不神秘，Python教你必杀技，本书教你从0到1构建量化交易平台，零基础快速入门Python股票量化交易,Python股票量化交易从入门到实践 股票炒股趋势技术分析书籍，量化投资金融科技教程，量化交易不神秘，Python教你必杀技，本书教你从0到1构建量化交易平台，零基础快速入门Python股票量化交易,,,99.80,49.90,4447条评论,//product.dangdang.com/29279080.html
深度学习入门 基于Python的理论与实现 人工智能入门学习教程 日本深度学习入门书籍 基于python 3 从零创建一个深度学习模型,深度学习入门 基于Python的理论与实现 人工智能入门学习教程 日本深度学习入门书籍 基于python 3 从零创建一个深度学习模型,,,69.80,39.80,14285条评论,//product.dangdang.com/29248305.html
青少年学Python编程从入门到精通：视频案例版 中小学青少年编程儿童少儿编程 零基础学Python（全彩图解+高清视频 本书以“理论+示例+案例”的方式展开，通过浅显易懂的语言及生动形象的典型案例进行讲解，内容安排由浅入深，层层递进，适合孩子学习。赠案例源代码，视频教程，PPT课件,青少年学Python编程从入门到精通：视频案例版 中小学青少年编程儿童少儿编程 零基础学Python（全彩图解+高清视频 本书以“理论+示例+案例”的方式展开，通过浅显易懂的语言及生动形象的典型案例进行讲解，内容安排由浅入深，层层递进，适合孩子学习。赠案例源代码，视频教程，PPT课件,,,89.00,36.50,3750条评论,//product.dangdang.com/29374875.html
Excel+Python 飞速搞定数据分析与处理 零基础Python编程数据分析，Excel办公自动化处理，手把手教学，告别烦琐公式和VBA代码，办公人士也能轻松学习Python数据处理自动化，让你的Excel快得飞起来！,Excel+Python 飞速搞定数据分析与处理 零基础Python编程数据分析，Excel办公自动化处理，手把手教学，告别烦琐公式和VBA代码，办公人士也能轻松学习Python数据处理自动化，让你的Excel快得飞起来！,,,89.80,49.80,2659条评论,//product.dangdang.com/29387249.html
Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程第2版（当当套装共3册） Python编程入门经典，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,Python编程三剑客第3版：Python编程从入门到实践第3版+快速上手第2版+极客项目编程第2版（当当套装共3册） Python编程入门经典，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,,,268.60,134.30,1222条评论,//product.dangdang.com/29772515.html
Excel函数与公式应用大全forExcel 365 & Excel 2025+Excel应用大全+Python自动化办,Excel函数与公式应用大全forExcel 365 & Excel 2025+Excel应用大全+Python自动化办,,,139.00,33.60,44238条评论,//product.dangdang.com/12100014793.html
深入浅出Python量化交易实战 你听说了吗？他们已经在用机器割“韭菜”啦！量化交易技术，让股市赚钱不再难。免费提供配套源程序+学习视频。简单易懂，即便是非金融或投资专业的读者也可以看懂,深入浅出Python量化交易实战 你听说了吗？他们已经在用机器割“韭菜”啦！量化交易技术，让股市赚钱不再难。免费提供配套源程序+学习视频。简单易懂，即便是非金融或投资专业的读者也可以看懂,,,99.00,78.20,3474条评论,//product.dangdang.com/29347566.html
Python金融量化分析 前海开源基金合伙人王宏远、前海开源量化投资总监陆琦、摩根大通前中国投资银行主席龚方雄力荐!将金融理论融入金融量化分析与交易策略设计中，结合典型案例详解趋势追踪、小市值、海龟交易和网格交易等策略的实现,Python金融量化分析 前海开源基金合伙人王宏远、前海开源量化投资总监陆琦、摩根大通前中国投资银行主席龚方雄力荐!将金融理论融入金融量化分析与交易策略设计中，结合典型案例详解趋势追踪、小市值、海龟交易和网格交易等策略的实现,,,79.80,63.00,941条评论,//product.dangdang.com/29725692.html
Python青少年趣味编程108例（全视频微课版） 中小学生Python零基础教程。从思路分析、画流程图、调试代码到成功运行，教你独立应用Python。,Python青少年趣味编程108例（全视频微课版） 中小学生Python零基础教程。从思路分析、画流程图、调试代码到成功运行，教你独立应用Python。,,,118.00,59.00,669条评论,//product.dangdang.com/29752343.html
"机器学习（全彩图解 + 微课 + Python编程）（鸢尾花数学大系：从加减乘除到机器学习） 鸢尾花书 从加减乘除到机器学习 Github全球排名TOP100,生姜博士作品 西瓜书+南瓜书+蟒蛇书","机器学习（全彩图解 + 微课 + Python编程）（鸢尾花数学大系：从加减乘除到机器学习） 鸢尾花书 从加减乘除到机器学习 Github全球排名TOP100,生姜博士作品 西瓜书+南瓜书+蟒蛇书",,,238.00,107.10,1660条评论,//product.dangdang.com/29761150.html
Python数据结构与算法分析（第3版） 只有洞彻数据结构与算法，才能真正精通Python！热门计算机科学教材，华盛顿大学、北京大学等多家高校采用，让你在代码编写的战场上所向披靡！,Python数据结构与算法分析（第3版） 只有洞彻数据结构与算法，才能真正精通Python！热门计算机科学教材，华盛顿大学、北京大学等多家高校采用，让你在代码编写的战场上所向披靡！,,,99.80,49.90,1696条评论,//product.dangdang.com/29623804.html
Python量化交易实战――使用vn.py构建交易系统 量化交易的入门书籍，抛开书本上枯燥繁杂的知识，用动手实践的方式带你实现属于自己的交易系统！,Python量化交易实战――使用vn.py构建交易系统 量化交易的入门书籍，抛开书本上枯燥繁杂的知识，用动手实践的方式带你实现属于自己的交易系统！,,,79.00,62.40,901条评论,//product.dangdang.com/29666024.html
Python量化交易实战 基本面量化投资策略 量化交易算法之路 量化交易核心技术开发从入门到精通 量化交易从入门到实践 凝聚作者15年交易经验，全流程讲解量化交易，大量案例实战，依次击破实践难点，教你快速上手,Python量化交易实战 基本面量化投资策略 量化交易算法之路 量化交易核心技术开发从入门到精通 量化交易从入门到实践 凝聚作者15年交易经验，全流程讲解量化交易，大量案例实战，依次击破实践难点，教你快速上手,,,69.80,34.90,1249条评论,//product.dangdang.com/29445761.html
Python编程练习与解答 Python入门书，精选186道涵盖各学科和日常生活的实用练习题，帮助程序员扎实掌握基础知识，提高编程技能。,Python编程练习与解答 Python入门书，精选186道涵盖各学科和日常生活的实用练习题，帮助程序员扎实掌握基础知识，提高编程技能。,,,49.80,24.90,2342条评论,//product.dangdang.com/29201497.html
Python数据可视化：科技图表绘制 提高数据洞察力，用于精确绘图和分析的高级Python数据可视化指南。,Python数据可视化：科技图表绘制 提高数据洞察力，用于精确绘图和分析的高级Python数据可视化指南。,,,129.00,60.60,720条评论,//product.dangdang.com/29764798.html
深度学习入门4：强化学习 深度学习“鱼书”经典教程系列第4部，搭配丰富的图、表、代码示例，详细讲解强化学习，基于Python实现，提供实际代码，边实践边学习。,深度学习入门4：强化学习 深度学习“鱼书”经典教程系列第4部，搭配丰富的图、表、代码示例，详细讲解强化学习，基于Python实现，提供实际代码，边实践边学习。,,,109.80,86.70,392条评论,//product.dangdang.com/29768965.html
矩阵力量：线性代数全彩图解+微课+Python编程 鸢尾花书 从加减乘除到机器学习 Github/知乎数学可视化大神生姜博士作品 硬核品鉴数学之美,矩阵力量：线性代数全彩图解+微课+Python编程 鸢尾花书 从加减乘除到机器学习 Github/知乎数学可视化大神生姜博士作品 硬核品鉴数学之美,,,258.00,128.90,4648条评论,//product.dangdang.com/29580027.html
自学是门手艺：没有自学能力的人没有未来 李笑来公开跨界成功秘诀！零基础自学编程，从Python起步,自学是门手艺：没有自学能力的人没有未来 李笑来公开跨界成功秘诀！零基础自学编程，从Python起步,,,99.00,49.50,12931条评论,//product.dangdang.com/27885543.html
零基础入门学习Python（第2版）-微课视频版 Python 3.7编程轻松入门 小甲鱼畅销图书 实例贯穿全书 30小时视频讲解 轻松学会Python 累计销售13万册,零基础入门学习Python（第2版）-微课视频版 Python 3.7编程轻松入门 小甲鱼畅销图书 实例贯穿全书 30小时视频讲解 轻松学会Python 累计销售13万册,,,89.00,66.80,10375条评论,//product.dangdang.com/27865271.html
Python编程四部曲：Python编程从入门到实践+快速上手+极客项目编程+妙趣横生的项目之旅（当当套装共4册） Python编程入门+项目实战，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,Python编程四部曲：Python编程从入门到实践+快速上手+极客项目编程+妙趣横生的项目之旅（当当套装共4册） Python编程入门+项目实战，自学利器，数据分析、网络爬虫、机器学习、深度学习基础，基于Python 3.11升级，附赠配套视频、源代码、PPT课件、速查地图、学习路线图等资源,,,368.50,184.20,274条评论,//product.dangdang.com/29824026.html
Python预训练视觉和大语言模型 DeepSeek工作原理 大模型数据集构建、预训练、微调、评估和部署的一站式解决方案。Amazon SageMaker 首席工程师作序推荐。,Python预训练视觉和大语言模型 DeepSeek工作原理 大模型数据集构建、预训练、微调、评估和部署的一站式解决方案。Amazon SageMaker 首席工程师作序推荐。,,,59.80,47.20,114条评论,//product.dangdang.com/29839236.html
蓝桥杯算法入门 Python 蓝桥杯大赛软件赛培训指南 掌握大赛算法知识，建立计算思维，提高编码能力 大赛介绍+算法解析+真题精讲+模板代码+训练计划 9个专题：填空题、杂题、数据结构、排序和排列、基本算法、搜索、数,蓝桥杯算法入门 Python 蓝桥杯大赛软件赛培训指南 掌握大赛算法知识，建立计算思维，提高编码能力 大赛介绍+算法解析+真题精讲+模板代码+训练计划 9个专题：填空题、杂题、数据结构、排序和排列、基本算法、搜索、数,,,99.00,78.20,570条评论,//product.dangdang.com/29795538.html
当当网正版 中小学编程用书 少儿编程入门 C++ Python Scratch 青少年信息学竞赛用书 3D打印 手机AP,当当网正版 中小学编程用书 少儿编程入门 C++ Python Scratch 青少年信息学竞赛用书 3D打印 手机AP,,,128.00,34.90,14126条评论,//product.dangdang.com/12100018090.html
程序员数学 用Python学透线性代数和微积分 500余幅图片+300余个练习，图文结合，边学边练，通过写代码，重新发现数学之美，提供配套源代码和本书彩色图片下载,程序员数学 用Python学透线性代数和微积分 500余幅图片+300余个练习，图文结合，边学边练，通过写代码，重新发现数学之美，提供配套源代码和本书彩色图片下载,,,129.80,60.70,2585条评论,//product.dangdang.com/29342404.html
从零开始学Python大数据与量化交易 一本书揭示量化交易精髓，新手交易获利更容易。免费赠送所有实例代码。量化交易/Python/Pandas大数据分析包/Matplotlib大数据可视化包/量化选股,从零开始学Python大数据与量化交易 一本书揭示量化交易精髓，新手交易获利更容易。免费赠送所有实例代码。量化交易/Python/Pandas大数据分析包/Matplotlib大数据可视化包/量化选股,,,59.00,39.30,1041条评论,//product.dangdang.com/28481481.html
大语言模型开发：用开源模型开发本地系统 一步一步了解Llama大语言模型内部架构。从Python Numpy实现的单层感知机出发，到PyTorch实现的Transformer模型，直至大语言模型的预训练、监督微调与推理。免费赠送Meta L,大语言模型开发：用开源模型开发本地系统 一步一步了解Llama大语言模型内部架构。从Python Numpy实现的单层感知机出发，到PyTorch实现的Transformer模型，直至大语言模型的预训练、监督微调与推理。免费赠送Meta L,,,118.00,93.20,501条评论,//product.dangdang.com/29778729.html
Python树莓派开发从入门到精通 120个应用实例+5个行业项目案例+136集Python零基础扫盲课，零基础入门+范例导学+项目实战，轻松玩转树莓派。,Python树莓派开发从入门到精通 120个应用实例+5个行业项目案例+136集Python零基础扫盲课，零基础入门+范例导学+项目实战，轻松玩转树莓派。,,,89.80,44.90,2158条评论,//product.dangdang.com/29315253.html
高效C/C++调试 一本关于高效调试的实用指南。涵盖调试符号、内存管理机制、Python增强调试器、Core Analyzer和C++20协程。深入挖掘调试的底层原理，从宏观和微观角度深入剖析问题,高效C/C++调试 一本关于高效调试的实用指南。涵盖调试符号、内存管理机制、Python增强调试器、Core Analyzer和C++20协程。深入挖掘调试的底层原理，从宏观和微观角度深入剖析问题,,,99.00,49.50,1451条评论,//product.dangdang.com/29666299.html
金融人工智能：用Python实现AI量化交易 机器学习知识+大量Python示例，帮助您走入AI金融新赛道，从过去到未来，全景式理解AI在金融领域的应用！,金融人工智能：用Python实现AI量化交易 机器学习知识+大量Python示例，帮助您走入AI金融新赛道，从过去到未来，全景式理解AI在金融领域的应用！,,,129.80,64.90,1135条评论,//product.dangdang.com/29447335.html
流畅的Python（第2版） Python编程好书新升级，基于Python3.10更新与修订。好评如潮的Python进阶指南，第1版中文版累计销量近8万册，带你深入理解Python语言核心特性与底层逻辑！,流畅的Python（第2版） Python编程好书新升级，基于Python3.10更新与修订。好评如潮的Python进阶指南，第1版中文版累计销量近8万册，带你深入理解Python语言核心特性与底层逻辑！,,,199.80,99.90,1785条评论,//product.dangdang.com/29553820.html
Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教 Python 青少年趣味编程 100个趣味编程实例630分钟视频讲解兴趣教学AI时代学编程的孩子不会输,Python青少年趣味编程100例 视频实例教学 零基础学Python入门教程自学教材 少儿趣味编程 小学生趣味编程 教 Python 青少年趣味编程 100个趣味编程实例630分钟视频讲解兴趣教学AI时代学编程的孩子不会输,,,89.80,39.50,2604条评论,//product.dangdang.com/29460433.html
统计学――基于Python（基于Python的数据分析丛书）,统计学――基于Python（基于Python的数据分析丛书）,,,49.00,36.70,575条评论,//product.dangdang.com/29669673.html
Python青少年趣味编程全彩版 独家配备71集视频教学课程 手机扫码看视频 少儿编程 小学生趣味编程 教孩子学编程 少,Python青少年趣味编程全彩版 独家配备71集视频教学课程 手机扫码看视频 少儿编程 小学生趣味编程 教孩子学编程 少,,,69.80,34.90,7013条评论,//product.dangdang.com/28524470.html
"编程不难（全彩图解 + 微课 + Python编程） 鸢尾花书 从加减乘除到机器学习 Github全球排名TOP140,生姜博士作品 硬核入门Python编程","编程不难（全彩图解 + 微课 + Python编程） 鸢尾花书 从加减乘除到机器学习 Github全球排名TOP140,生姜博士作品 硬核入门Python编程",,,268.00,211.70,386条评论,//product.dangdang.com/29720042.html
Python金融大数据分析 第2版 金融科技算法交易量化金融教程书籍，详细讲解使用Python分析处理金融大数据的专业图书，将人工智能应用于金融开发的实战指南，金融应用开发领域从业人员的常备读物,Python金融大数据分析 第2版 金融科技算法交易量化金融教程书籍，详细讲解使用Python分析处理金融大数据的专业图书，将人工智能应用于金融开发的实战指南，金融应用开发领域从业人员的常备读物,,,139.00,69.50,4405条评论,//product.dangdang.com/28527971.html
深度学习进阶 自然语言处理 人工智能NLP自然语言处理教程，经典畅销书《深度学习入门：基于Python的理论与实现》续作，带你轻松入门自然语言处理，提供源代码，双色印刷,深度学习进阶 自然语言处理 人工智能NLP自然语言处理教程，经典畅销书《深度学习入门：基于Python的理论与实现》续作，带你轻松入门自然语言处理，提供源代码，双色印刷,,,99.00,49.50,2443条评论,//product.dangdang.com/29141034.html
全4册新版python C语言C++编程从入门到精通Java编程计算机零基础自学全套实战语言程序爬虫教程设计开发书籍编程,全4册新版python C语言C++编程从入门到精通Java编程计算机零基础自学全套实战语言程序爬虫教程设计开发书籍编程,,,372.00,186.00,688条评论,//product.dangdang.com/29608498.html
Python编程从入门到实践第3版+Python编程实战+Python极客项目编程+Python编程快速上手 pytho,Python编程从入门到实践第3版+Python编程实战+Python极客项目编程+Python编程快速上手 pytho,,,368.50,22.20,1134条评论,//product.dangdang.com/11863619097.html
Python完全自学教程,Python完全自学教程,,,,57.54,533条评论,//product.dangdang.com/1901334392.html
白话深度学习的数学 热销IT技术书《白话机器学习的数学》续作！对话形式轻松理解，一本书掌深度学习的基础数学！有趣、易懂、不枯燥的深度学习入门书。Python代码均可下载。,白话深度学习的数学 热销IT技术书《白话机器学习的数学》续作！对话形式轻松理解，一本书掌深度学习的基础数学！有趣、易懂、不枯燥的深度学习入门书。Python代码均可下载。,,,69.80,34.90,925条评论,//product.dangdang.com/29666416.html
DK编程真好玩（全2册） DK经典编程启蒙书，10万+读者的选择！全新Scratch 3.0 升级+Python版！大J小D、丹妈、樊登小读者、等众多大V一致推荐！零基础启蒙，轻松有趣，入选中国小学生分级阅读书目。爱心树童书,DK编程真好玩（全2册） DK经典编程启蒙书，10万+读者的选择！全新Scratch 3.0 升级+Python版！大J小D、丹妈、樊登小读者、等众多大V一致推荐！零基础启蒙，轻松有趣，入选中国小学生分级阅读书目。爱心树童书,,,226.00,124.30,42552条评论,//product.dangdang.com/28553332.html
DK编程真好玩：9岁开始学Python DK经典少儿编程启蒙书，从图形化编程进阶正式编程语言，通过创编游戏，轻松掌握人工智能时代编程语言Python，锻炼逻辑思维，培养解决问题的能力。教育大V“憨爸在美国”，知名科普作家徐来鼎力推荐。,DK编程真好玩：9岁开始学Python DK经典少儿编程启蒙书，从图形化编程进阶正式编程语言，通过创编游戏，轻松掌握人工智能时代编程语言Python，锻炼逻辑思维，培养解决问题的能力。教育大V“憨爸在美国”，知名科普作家徐来鼎力推荐。,,,118.00,64.90,18044条评论,//product.dangdang.com/27940162.html
深入浅出神经网络与深度学习 人工智能机器学习教程书籍，李航、马少平、邱锡鹏等多位科学家重磅推荐，Michael Nielsen高分深度学习入门讲义正式版，基于Python语言编写，配套动态示例，兼顾理论和实践，新手也可以很快入门,深入浅出神经网络与深度学习 人工智能机器学习教程书籍，李航、马少平、邱锡鹏等多位科学家重磅推荐，Michael Nielsen高分深度学习入门讲义正式版，基于Python语言编写，配套动态示例，兼顾理论和实践，新手也可以很快入门,,,89.00,44.50,1266条评论,//product.dangdang.com/29115323.html
Python AI游戏编程入门――基于Pygame和PyTorch,Python AI游戏编程入门――基于Pygame和PyTorch,,,,25.99,214条评论,//product.dangdang.com/1901356918.html
Python信号处理仿真与应用（新形态版） 配套智谱清言大模型智能助教，Python编程与大语言模型智能融合，实例贯穿，视频讲解，双色印刷,Python信号处理仿真与应用（新形态版） 配套智谱清言大模型智能助教，Python编程与大语言模型智能融合，实例贯穿，视频讲解，双色印刷,,,69.00,54.50,128条评论,//product.dangdang.com/29826629.html
数学要素 全彩图解 + 微课 +Python 编程 Github/知乎数学可视化大神生姜博士全角度拆解“数学要素”。,数学要素 全彩图解 + 微课 +Python 编程 Github/知乎数学可视化大神生姜博士全角度拆解“数学要素”。,,,238.00,107.10,4033条评论,//product.dangdang.com/29560701.html
Python深度学习（第2版） 流行深度学习框架Keras之父执笔，涵盖Transformer架构等进展，文字生，简单方式解释复杂概念，不用一个数学公式，利用直觉自然入门深度学习,Python深度学习（第2版） 流行深度学习框架Keras之父执笔，涵盖Transformer架构等进展，文字生，简单方式解释复杂概念，不用一个数学公式，利用直觉自然入门深度学习,,,129.80,69.90,1482条评论,//product.dangdang.com/29458119.html
人工智能与Python程序设计（新编21世纪人工智能系列教材）,人工智能与Python程序设计（新编21世纪人工智能系列教材）,,,49.00,36.80,270条评论,//product.dangdang.com/29728517.html
Python神经网络编程,Python神经网络编程,,,79.80,39.90,14410条评论,//product.dangdang.com/29520739.html
用Python编程和实践！数学教科书 机器学习 chatgpt聊天机器人 深度学习中必要的基础知识 人工智能 数学基础书,用Python编程和实践！数学教科书 机器学习 chatgpt聊天机器人 深度学习中必要的基础知识 人工智能 数学基础书,,,128.00,34.90,14851条评论,//product.dangdang.com/12100009752.html
PyTorch深度学习项目教程 宋桂岭 刘军伟 李克新 通过Python语言和PyTorch框架的8个项目展示了深度学习技术的运用,PyTorch深度学习项目教程 宋桂岭 刘军伟 李克新 通过Python语言和PyTorch框架的8个项目展示了深度学习技术的运用,,,59.00,41.70,186条评论,//product.dangdang.com/29800314.html
你好!Python,你好!Python,,,,60.00,617条评论,//product.dangdang.com/1901351863.html
机器学习及Python应用,机器学习及Python应用,,,89.00,65.90,1346条评论,//product.dangdang.com/29221647.html
父与子的编程之旅 与小卡特一起学Python 第3版（全彩印刷） Python青少年编程启蒙畅销书全新升级，问答式讲解，从孩子的视角展现逻辑思维过程，寓教于乐，趣味游戏与编程知识无缝衔接，全彩印刷,父与子的编程之旅 与小卡特一起学Python 第3版（全彩印刷） Python青少年编程启蒙畅销书全新升级，问答式讲解，从孩子的视角展现逻辑思维过程，寓教于乐，趣味游戏与编程知识无缝衔接，全彩印刷,,,119.00,59.50,3401条评论,//product.dangdang.com/29140385.html
我跟爸爸学编程：从Python到C++ 从初中生的视角讲解Python和C++两种语言,我跟爸爸学编程：从Python到C++ 从初中生的视角讲解Python和C++两种语言,,,59.00,44.50,1597条评论,//product.dangdang.com/28975037.html
