exchange,year,tab,num
上海,2022,股票,2136
上海,2022,主板A,1669
上海,2022,主板B,420
上海,2022,科创板,421
上海,2023,股票,2257
上海,2023,主板A,1686
上海,2023,主板B,44
上海,2023,科创板,527
上海,2024,股票,2312
上海,2024,主板A,1696
上海,2024,主板B,44
上海,2024,科创板,572
上海,2025,股票,2325
上海,2025,主板A,1695
上海,2025,主板B,43
上海,2025,科创板,587
北交所,2022,股票数据,91
北交所,2023,股票数据,195
北交所,2024,股票数据,248
北交所,2025,股票数据,266
深圳,2022,主板,1494
深圳,2023,主板,1523
深圳,2024,主板,1509
深圳,2025,主板,1491
深圳,2022,创业板,1144
深圳,2023,创业板,1263
深圳,2024,创业板,1344
深圳,2025,创业板,1381
深圳,2022,深圳市场,2638
深圳,2023,深圳市场,2786
深圳,2024,深圳市场,2853
深圳,2025,深圳市场,2872
