交易日期,交易量(手)
2025-02-14,27100
2025-02-17,32471
2025-02-18,27800
2025-02-19,32393
2025-02-20,23750
2025-02-21,36418
2025-02-24,34744
2025-02-25,28387
2025-02-26,26366
2025-02-27,49762
2025-02-28,56129
2025-03-03,31596
2025-03-04,25211
2025-03-05,24605
2025-03-06,42168
2025-03-07,37991
2025-03-10,31369
2025-03-11,39776
2025-03-12,29604
2025-03-13,25724
2025-03-14,92913
2025-03-17,54689
2025-03-18,31613
2025-03-19,27390
2025-03-20,36737
2025-03-21,33614
2025-03-24,25566
2025-03-25,17674
2025-03-26,14324
2025-03-27,17956
2025-03-28,16228
2025-03-31,21085
2025-04-01,18556
2025-04-02,21674
2025-04-03,35481
2025-04-07,101953
2025-04-08,73876
2025-04-09,55630
2025-04-10,38620
2025-04-11,32634
2025-04-14,21711
2025-04-15,21489
2025-04-16,31156
2025-04-17,23846
2025-04-18,20298
2025-04-21,18057
2025-04-22,18432
2025-04-23,18669
2025-04-24,14872
2025-04-25,14765
2025-04-28,14660
2025-04-29,18922
2025-04-30,25754
2025-05-06,18300
2025-05-07,27462
2025-05-08,33481
2025-05-09,23672
2025-05-12,24735
2025-05-13,21258
2025-05-14,39460
2025-05-15,24733
2025-05-16,22935
2025-05-19,38063
2025-05-20,19522
2025-05-21,19795
2025-05-22,15090
2025-05-23,21537
